Days,Temp,Humidity,Daily_cases
1,9,0.855,641
2,4,0.855,918
3,5,0.855,1401
4,3,0.855,2067
5,6,0.667143,2869
6,6,0.667143,5501
7,8,0.667143,6077
8,6,0.667143,8131
9,9,0.667143,9790
10,5,0.667143,11878
11,5,0.667143,16615
12,4,0.781429,19701
13,4,0.781429,23690
14,3,0.781429,27419
15,-4,0.781429,30563
16,-4,0.781429,34085
17,2,0.781429,36788
18,8,0.781429,39800
19,6,0.797143,42316
20,13,0.797143,44337
21,11,0.797143,44709
22,12,0.797143,59842
23,9,0.797143,66302
24,7,0.797143,68357
25,0,0.797143,70456
26,4,0.617143,72374
27,6,0.617143,74149
28,10,0.617143,74556
29,8,0.617143,75009
30,4,0.617143,75482
31,10,0.617143,76932
32,10,0.617143,76948
33,10,0.785714,77162
34,9,0.785714,77670
35,10,0.785714,78075
36,8,0.785714,78508
37,5,0.785714,78834
38,8,0.785714,79261
39,3,0.785714,79836
40,11,0.75,80036
41,10,0.75,80161
42,8,0.75,80281
43,6,0.75,80432
44,8,0.75,80583
45,10,0.75,80662
46,16,0.75,80709
47,6,0.692857,80745
48,11,0.692857,80767
49,12,0.692857,80795
50,16,0.692857,80803
51,14,0.692857,80811
52,12,0.692857,80837
53,16,0.692857,80858
54,18,0.611429,80878
55,13,0.611429,80896
56,23,0.611429,80921
57,26,0.611429,80948
58,16,0.611429,80994
59,24,0.611429,81032
60,17,0.611429,81080
61,22,0.81,81000
62,22,0.81,81171
63,19,0.81,81218
64,21,0.81,81285
65,16,0.81,81340
66,14,0.81,81394
67,14,0.81,81439
68,17,0.701429,81439
69,18,0.701429,81518
70,19,0.701429,81554
71,17,0.701429,81589
72,21,0.701429,81620
73,26,0.701429,81639
74,18,0.701429,81669
75,17,0.61,81708
76,21,0.61,81740
77,26,0.61,81802
78,18,0.61,81865
79,19,0.61,81907
80,24,0.61,81953
81,19,0.61,82052
82,15,0.69,82160
83,13,0.69,82249
84,18,0.69,82295
85,23,0.69,82341
86,26,0.69,82692
87,27,0.69,82719
88,26,0.69,82735
89,24,0.75,82747
