Temp,Humidity,Daily_cases
4,0.8125,0
5,0.8125,2
11,0.8125,3
13,0.8125,3
12,0.797143,3
10,0.797143,4
12,0.797143,5
13,0.797143,5
13,0.797143,5
14,0.797143,6
14,0.797143,6
16,0.737143,6
11,0.737143,6
11,0.737143,6
11,0.737143,6
13,0.737143,6
10,0.737143,11
14,0.737143,11
13,0.744286,11
11,0.744286,11
12,0.744286,11
13,0.744286,11
14,0.744286,11
15,0.744286,12
18,0.744286,12
12,0.777143,12
11,0.777143,12
12,0.777143,12
13,0.777143,12
11,0.777143,12
15,0.777143,12
12,0.777143,12
12,0.804286,12
12,0.804286,14
9,0.804286,18
14,0.804286,38
13,0.804286,57
12,0.804286,100
9,0.804286,130
11,0.765714,191
10,0.765714,204
13,0.765714,285
13,0.765714,377
9,0.765714,653
12,0.765714,949
14,0.765714,1126
12,0.767143,1209
14,0.767143,1784
18,0.767143,2281
14,0.767143,2281
13,0.767143,3661
15,0.767143,4469
16,0.767143,4499
11,0.705714,6633
16,0.705714,7652
19,0.705714,9043
21,0.705714,10871
21,0.705714,12612
11,0.705714,14282
9,0.705714,16018
17,0.74,18830
16,0.74,22304
14,0.74,25233
12,0.74,29155
13,0.74,32964
15,0.74,37575
10,0.74,40174
10,0.705714,44550
13,0.705714,52128
14,0.705714,56989
12,0.705714,59105
16,0.705714,76460
18,0.705714,83019
23,0.705714,87719
20,0.751429,90452
21,0.751429,99180
23,0.751429,103061
25,0.751429,107696
26,0.751429,113927
26,0.751429,118178
25,0.751429,120633
21,0.74,124298
16,0.74,130253
22,0.74,133644
24,0.74,146060
23,0.74,147969
23,0.74,151793
15,0.74,152894
17,0.77,155383
