Temp,Humidity,Daily_cases
10,0.8275,0
8,0.8275,0
8,0.8275,0
10,0.8275,0
12,0.801429,0
9,0.801429,0
13,0.801429,0
9,0.801429,0
12,0.801429,2
9,0.801429,2
10,0.801429,2
14,0.588571,2
14,0.588571,2
12,0.588571,2
12,0.588571,2
11,0.588571,3
11,0.588571,3
12,0.588571,3
19,0.661429,3
16,0.661429,3
13,0.661429,3
16,0.661429,3
15,0.661429,3
13,0.661429,3
12,0.661429,3
14,0.69,3
14,0.69,3
14,0.69,3
12,0.69,3
15,0.69,20
13,0.69,62
15,0.69,155
13,0.661429,229
16,0.661429,322
13,0.661429,453
15,0.661429,655
12,0.661429,888
8,0.661429,1128
11,0.661429,1694
9,0.734286,2036
13,0.734286,2502
11,0.734286,3089
11,0.734286,3858
15,0.734286,4636
15,0.734286,5883
12,0.734286,7375
15,0.684286,9172
17,0.684286,10149
15,0.684286,12462
15,0.684286,12462
13,0.684286,17660
15,0.684286,21157
16,0.684286,24747
17,0.605714,27980
20,0.605714,31506
22,0.605714,35713
20,0.605714,41035
17,0.605714,47021
14,0.605714,53578
10,0.605714,59138
12,0.704286,63655
10,0.704286,69176
7,0.704286,74386
13,0.704286,80589
19,0.704286,86498
20,0.704286,92472
14,0.704286,97689
5,0.55,101739
11,0.55,105792
14,0.55,110574
16,0.55,115242
19,0.55,119827
20,0.55,124632
22,0.55,128948
23,0.435714,132547
23,0.435714,135586
24,0.435714,139422
26,0.435714,143626
26,0.435714,147577
26,0.435714,152271
23,0.435714,156363
22,0.682857,159516
17,0.682857,162488
21,0.682857,165155
22,0.682857,168941
24,0.682857,172434
24,0.682857,175925
17,0.682857,178972
19,0.91,181228
