Temp,Humidity,Daily_cases
14,0.71,1
15,0.71,2
11,0.71,2
11,0.71,4
11,0.684286,4
14,0.684286,7
13,0.684286,7
11,0.684286,11
8,0.684286,15
11,0.684286,20
11,0.684286,20
11,0.53,20
12,0.53,22
11,0.53,22
9,0.53,45
7,0.53,25
9,0.53,25
9,0.53,26
7,0.665714,26
11,0.665714,26
10,0.665714,28
12,0.665714,28
17,0.665714,29
14,0.665714,43
13,0.665714,59
12,0.59,66
7,0.59,74
6,0.59,84
10,0.59,94
13,0.59,105
12,0.59,122
11,0.59,147
13,0.71,159
11,0.71,170
13,0.71,189
10,0.71,214
10,0.71,228
11,0.71,241
15,0.71,256
12,0.654286,274
15,0.654286,293
13,0.654286,331
12,0.654286,360
14,0.654286,420
13,0.654286,461
14,0.654286,502
11,0.667143,511
17,0.667143,581
17,0.667143,639
17,0.667143,639
15,0.667143,701
15,0.667143,773
16,0.667143,839
17,0.577143,825
15,0.577143,878
14,0.577143,889
13,0.577143,924
17,0.577143,963
15,0.577143,1007
15,0.577143,1086
12,0.675714,1134
13,0.675714,1193
13,0.675714,1307
16,0.675714,1387
17,0.675714,1499
20,0.675714,1693
13,0.675714,1866
14,0.641429,1953
18,0.641429,2178
18,0.641429,2384
17,0.641429,2617
15,0.641429,2935
14,0.641429,3139
10,0.641429,3654
11,0.591429,3906
19,0.591429,4257
18,0.591429,4667
19,0.591429,5347
16,0.591429,6005
17,0.591429,6748
15,0.591429,7370
18,0.665714,7618
18,0.665714,7885
14,0.665714,8626
13,0.665714,9231
15,0.665714,9787
21,0.665714,10296
20,0.665714,10797
19,0.64,11135
