Temp,Humidity,Daily_cases
8,0.675,1
11,0.675,2
11,0.675,2
8,0.675,5
7,0.791429,5
6,0.791429,5
5,0.791429,5
3,0.791429,5
7,0.791429,7
6,0.791429,8
7,0.791429,8
14,0.825714,11
16,0.825714,11
13,0.825714,11
5,0.825714,11
13,0.825714,11
5,0.825714,11
7,0.825714,11
8,0.774286,11
9,0.774286,12
8,0.774286,12
7,0.774286,13
4,0.774286,13
-1,0.774286,13
7,0.774286,13
11,0.702857,13
8,0.702857,13
9,0.702857,13
2,0.702857,13
2,0.702857,15
10,0.702857,15
13,0.702857,15
17,0.728571,15
12,0.728571,15
9,0.728571,15
6,0.728571,16
6,0.728571,16
2,0.728571,24
7,0.728571,30
14,0.684286,53
15,0.684286,73
13,0.684286,104
11,0.684286,172
7,0.684286,217
9,0.684286,357
15,0.684286,473
22,0.635714,538
18,0.635714,913
14,0.635714,1235
10,0.635714,1617
21,0.635714,2133
14,0.635714,2681
12,0.635714,3453
7,0.677143,4585
12,0.677143,6374
12,0.677143,7736
11,0.677143,13630
25,0.677143,19051
18,0.677143,25440
7,0.677143,33223
5,0.821429,42921
13,0.821429,54856
7,0.821429,68211
16,0.821429,85435
21,0.821429,104126
12,0.821429,123578
8,0.821429,142460
11,0.824286,163844
9,0.824286,188530
13,0.824286,215003
14,0.824286,244877
11,0.824286,277161
17,0.824286,311357
18,0.824286,336673
19,0.701429,367004
20,0.701429,400335
18,0.701429,434927
15,0.701429,468566
9,0.701429,502876
13,0.701429,532879
17,0.701429,560300
19,0.695714,586941
16,0.695714,613886
12,0.695714,644089
10,0.695714,677570
11,0.695714,709735
8,0.695714,738792
17,0.695714,764636
