Day (X1),Tempreture in C (X2),Humidity (X3),Daily cases (Y)
1,8,0.675,1
2,11,0.675,2
3,11,0.675,2
4,8,0.675,5
5,7,0.791429,5
6,6,0.791429,5
7,5,0.791429,5
8,3,0.791429,5
9,7,0.791429,7
10,6,0.791429,8
11,7,0.791429,8
12,14,0.825714,11
13,16,0.825714,11
14,13,0.825714,11
15,5,0.825714,11
16,13,0.825714,11
17,5,0.825714,11
18,7,0.825714,11
19,8,0.774286,11
20,9,0.774286,12
21,8,0.774286,12
22,7,0.774286,13
23,4,0.774286,13
24,-1,0.774286,13
25,7,0.774286,13
26,11,0.702857,13
27,8,0.702857,13
28,9,0.702857,13
29,2,0.702857,13
30,2,0.702857,15
31,10,0.702857,15
32,13,0.702857,15
33,17,0.728571,15
34,12,0.728571,15
35,9,0.728571,15
36,6,0.728571,16
37,6,0.728571,16
38,2,0.728571,24
39,7,0.728571,30
40,14,0.684286,53
41,15,0.684286,73
42,13,0.684286,104
43,11,0.684286,172
44,7,0.684286,217
45,9,0.684286,357
46,15,0.684286,473
47,22,0.635714,538
48,18,0.635714,913
49,14,0.635714,1235
50,10,0.635714,1617
51,21,0.635714,2133
52,14,0.635714,2681
53,12,0.635714,3453
54,7,0.677143,4585
55,12,0.677143,6374
56,12,0.677143,7736
57,11,0.677143,13630
58,25,0.677143,19051
59,18,0.677143,25440
60,7,0.677143,33223
61,5,0.821429,42921
62,13,0.821429,54856
63,7,0.821429,68211
64,16,0.821429,85435
65,21,0.821429,104126
66,12,0.821429,123578
67,8,0.821429,142460
68,11,0.824286,163844
69,9,0.824286,188530
70,13,0.824286,215003
71,14,0.824286,244877
72,11,0.824286,277161
73,17,0.824286,311357
74,18,0.824286,336673
75,19,0.701429,367004
76,20,0.701429,400335
77,18,0.701429,434927
78,15,0.701429,468566
79,9,0.701429,502876
80,13,0.701429,532879
81,17,0.701429,560300
82,19,0.695714,586941
83,16,0.695714,613886
84,12,0.695714,644089
85,10,0.695714,677570
86,11,0.695714,709735
87,8,0.695714,738792
88,17,0.695714,764636
1,10,0.8275,0
2,8,0.8275,0
3,8,0.8275,0
4,10,0.8275,0
5,12,0.801429,0
6,9,0.801429,0
7,13,0.801429,0
8,9,0.801429,0
9,12,0.801429,2
10,9,0.801429,2
11,10,0.801429,2
12,14,0.588571,2
13,14,0.588571,2
14,12,0.588571,2
15,12,0.588571,2
16,11,0.588571,3
17,11,0.588571,3
18,12,0.588571,3
19,19,0.661429,3
20,16,0.661429,3
21,13,0.661429,3
22,16,0.661429,3
23,15,0.661429,3
24,13,0.661429,3
25,12,0.661429,3
26,14,0.69,3
27,14,0.69,3
28,14,0.69,3
29,12,0.69,3
30,15,0.69,20
31,13,0.69,62
32,15,0.69,155
33,13,0.661429,229
34,16,0.661429,322
35,13,0.661429,453
36,15,0.661429,655
37,12,0.661429,888
38,8,0.661429,1128
39,11,0.661429,1694
40,9,0.734286,2036
41,13,0.734286,2502
42,11,0.734286,3089
43,11,0.734286,3858
44,15,0.734286,4636
45,15,0.734286,5883
46,12,0.734286,7375
47,15,0.684286,9172
48,17,0.684286,10149
49,15,0.684286,12462
50,15,0.684286,12462
51,13,0.684286,17660
52,15,0.684286,21157
53,16,0.684286,24747
54,17,0.605714,27980
55,20,0.605714,31506
56,22,0.605714,35713
57,20,0.605714,41035
58,17,0.605714,47021
59,14,0.605714,53578
60,10,0.605714,59138
61,12,0.704286,63655
62,10,0.704286,69176
63,7,0.704286,74386
64,13,0.704286,80589
65,19,0.704286,86498
66,20,0.704286,92472
67,14,0.704286,97689
68,5,0.55,101739
69,11,0.55,105792
70,14,0.55,110574
71,16,0.55,115242
72,19,0.55,119827
73,20,0.55,124632
74,22,0.55,128948
75,23,0.435714,132547
76,23,0.435714,135586
77,24,0.435714,139422
78,26,0.435714,143626
